city,year,longitude,latitude,Influ_diversity,Influ_num_people_divide
Afragola,1200,14.3,40.917,31.960504937771095,4.015095546007069
Alencon,1200,0.083,48.433,49.76048558215882,6.763396240600143
Alessandria,1200,8.617,44.9,24.88396992238113,8.41667087719129
Almeria (Al-Mariyya),1200,-2.45,36.833,11.417154995311178,1.4170925456495538
Amalfi,1200,14.6,40.633,33.9709661357293,4.015095546007069
Amiens,1200,2.3,49.9,45.7825715977083,2.196883829378199
Ancona,1200,13.5,43.633,31.084733489060568,9.855234522017353
Angers,1200,-0.55,47.467,37.68837110466705,6.441329752952517
Aquila (L'Aquila),1200,13.37,42.35,53.82029385755518,13.361158287552936
Araiano Irpino,1200,15.08,41.15,28.52359881903757,4.015095546007069
Arezzo,1200,11.883,43.417,36.30143561535222,1.7498945828854338
Arles,1200,4.633,43.667,30.814558867200002,1.2099790197469267
Arpino,1200,13.6,41.65,24.91571439357826,6.441329752952517
Arras (Atrecht),1200,2.783,50.283,29.185701866161683,3.4675825170061056
Ascoli Piceno,1200,13.567,42.85,30.18070893021297,11.594393555314532
Asti,1200,8.2,44.9,33.729044624005816,5.829403426422028
Augsburg,1200,10.883,48.367,47.19675379516211,6.441329752952517
Auxerre,1200,3.567,47.8,40.26076209601345,2.157845467239093
Avellino,1200,14.78,40.82,29.42762337788517,3.370962570711817
Aversa,1200,14.2,40.967,37.40787225446282,4.015095546007069
Avignon,1200,4.817,43.95,30.612146786937,1.5766393287611469
Avila,1200,-4.7,40.65,33.04325924667306,3.9568168482422608
Baeza (Bayyasa),1200,-3.467,37.983,23.738334549469958,0.8695795166485898
Bamberg,1200,10.867,49.867,37.95854572652762,2.091898519768389
Bar-le-duc,1200,5.167,48.783,38.250300898055244,1.5317135144857628
Barcelona (Barshaluna),1200,2.183,41.383,14.331640752116984,3.2636070748292756
Bari,1200,16.85,41.133,19.779008068808714,3.2206648764762584
Basel,1200,7.6,47.567,45.85901068862889,9.339928141781149
Bassano,1200,11.73,45.77,24.201068134925343,0.8539951546200419
Bath,1200,-2.366,51.378,54.647192437795944,10.402747551018317
Bayeux,1200,-0.7,49.267,48.65404894304819,7.407529215895394
Beauvais,1200,2.083,49.433,48.8994694347771,1.0803866721997633
Benevento (Benevent),1200,14.75,41.133,27.759256945386365,3.370962570711817
Bergamo,1200,9.717,45.683,20.589135166599952,2.7268295954165653
Bern,1200,7.467,46.917,39.266007999025994,5.732783480127741
Besancon,1200,6.033,47.25,35.15548954478113,7.729595703543021
Beziers,1200,3.25,43.35,28.281677307314077,1.6339879420454984
Blackburn,1200,-2.478,53.743,21.20545298958403,2.640945198710532
Blois,1200,1.333,47.583,39.48120099949546,10.386047807214362
Bologna,1200,11.333,44.483,26.513137621079355,1.1359078983531585
Bonn,1200,7.1,50.733,21.20545298958403,1.4063569960612996
Boulogne,1200,1.62,50.72,29.950043739812884,5.389245893303605
Bourges,1200,2.4,47.083,56.929739588681244,16.151037936106867
Bradford,1200,-1.75,53.788,23.89847524079957,9.7264079269583
Braga,1200,-8.433,41.55,45.04602636558106,3.768177905477222
Bremen,1200,8.8,53.083,20.30142843073643,5.153063802362014
Brescia,1200,10.25,45.55,34.63306918285342,1.275968866516685
Bristol,1200,-2.569,51.477,56.415732124030654,11.691013501608818
Brno (Bruenn),1200,16.633,49.2,31.633180545510747,3.7145001575359506
Brugge (bruges),1200,3.233,51.217,35.739505821964016,2.8985983888286326
Buda,1200,19.033,47.5,38.34251291580714,5.518072488362657
Burgos (Burghush),1200,-3.7,42.35,28.66328150423397,3.2850781740057835
Caen,1200,-0.35,49.183,43.20668162635648,9.661994629428776
Cagliari,1200,9.117,39.217,54.020805865265125,4.525800976419733
Caltanisetta,1200,14.067,37.483,30.38122093792293,3.413904769064834
Cambrai,1200,3.233,50.167,41.18687313865575,2.318878711062906
Cambridge,1200,0.144,52.205,38.25030089805525,6.570156348011567
Carcassonne,1200,2.35,43.217,31.92099550631061,1.6612397217695283
Carmagnole,1200,7.717,44.85,31.196163064119887,5.153063802362014
Carmona (Karmuna),1200,-5.633,37.467,24.642359108317564,0.9017861654133524
Casale,1200,8.45,45.133,16.90372104580348,7.160611575365548
Castelvetrano,1200,12.783,37.683,30.38122093792293,4.058037744360085
Castroreale,1200,15.2,38.1,17.18453059366762,3.929211149301036
Catania,1200,15.1,37.5,20.62143671240114,4.53040192624327
Catanzaro,1200,16.583,38.9,15.758085672892301,2.5980030003575156
Chalon-sur-saone,1200,4.85,46.783,42.02930178224817,8.432286222046933
Chalons-sur-Marne,1200,4.367,48.95,35.71741933816933,1.3682945929756711
Chambery,1200,5.9,45.6,30.612146786937004,4.567488370275422
Chatham,1200,0.535,51.361,46.23054977463289,3.9936244468305606
Chivasso,1200,7.883,45.183,30.814558867200006,3.907740050124527
Clermont-Ferrand,1200,3.083,45.783,39.69883230262525,11.59439355531453
Coimbra Kulumriyya),1200,-8.417,40.2,35.397411056504616,3.4568469674178504
Colchester,1200,0.9,51.892,34.81339477932171,7.821614700013772
