city,year,log_pop,num_people_divide,diversity,diversity_le2,capital,university,commune,bishop,fup
Aachen,1400,2.302585092994046,-0.10536051565782628,1.589026915173973,0.3488320958430319,0,0,1,0,6.3747
Aachen,1500,2.8903717578961645,-0.6931471805599453,1.5810937501718236,1.2730283365896256,0,0,1,0,8.3408
Aachen,1600,3.1354942159291497,-0.6505875661411494,2.564949357461537,1.7481554572476763,0,0,1,0,12.245
Aachen,1700,2.70805020110221,0.42744401482693967,3.2188758248682,1.7222619556978152,0,0,1,0,15.863
Aachen,1800,3.1780538303479458,0.7339691750802005,3.8073861077792537,2.0958805329717136,0,0,1,0,24.889
Aalst (Alost),1400,0.0,0.0,-0.0,-0.0,0,0,1,0,9.1072
Aalst (Alost),1500,1.6094379124341003,-0.916290731874155,1.0986122886681096,0.6931471805599453,0,0,1,0,12.07
Aalst (Alost),1600,1.9459101490553132,0.3566749439387324,2.484906649788001,1.2798542258336674,0,0,1,0,16.156
Aalst (Alost),1700,2.0794415416798357,-0.13353139262452263,2.19722457733622,0.7963116401738131,0,0,1,0,23.332
Aalst (Alost),1800,2.3978952727983707,-0.3184537311185346,2.3978952727983707,1.6674619334292948,0,0,1,0,31.706
Abbeville,1300,0.0,0.6931471805599453,1.0986122886681096,-0.0,0,0,1,0,9.2675
Abbeville,1400,0.0,0.0,-0.0,-0.0,0,0,1,0,6.981
Abbeville,1500,0.0,1.3862943611198906,2.19722457733622,0.5623351446188083,0,0,1,0,9.1057
Abbeville,1600,0.0,1.0986122886681098,1.6094379124341005,0.6365141682948128,0,0,1,0,13.312
Abbeville,1700,2.70805020110221,-0.3101549283038396,2.484906649788001,1.2406842919533958,0,0,1,0,18.269
Abbeville,1800,2.8903717578961645,1.0608719606852626,3.64056056132254,1.6807644319219623,0,0,1,0,28.497
Aberdeen,1400,0.0,0.6931471805599453,2.19722457733622,0.6931471805599453,0,0,0,1,2.6253
Aberdeen,1500,0.0,0.0,-0.0,-0.0,0,1,0,1,3.4293
Aberdeen,1600,1.791759469228055,0.0,1.945910149055313,1.5607104090414063,0,1,0,1,5.4364
Aberdeen,1700,2.4849066497880004,0.28768207245178085,2.995732273553991,1.4402347497045995,0,1,0,1,7.1797
Aberdeen,1800,3.295836866004329,0.616186139423817,4.1530596643399456,2.0072127528402666,0,1,0,1,14.317
Acireale,1300,0.0,0.0,-0.0,-0.0,0,0,0,1,5.8109
Acireale,1700,2.4849066497880004,-0.8754687373538999,1.6094379124341005,1.0549201679861442,0,0,0,1,11.819
Acireale,1800,2.70805020110221,-0.916290731874155,1.945910149055313,1.0114042647073516,0,0,0,1,22.078
Afragola,1200,0.0,0.0,1.0986122886681096,-0.0,0,0,0,0,6.8206
Afragola,1500,0.0,0.0,-0.0,-0.0,0,0,0,0,16.918
Afragola,1600,0.0,0.0,-0.0,-0.0,0,0,0,0,34.039
Afragola,1700,0.0,1.0986122886681098,1.6094379124341005,0.6365141682948128,0,0,0,0,36.823
Afragola,1800,2.4849066497880004,-0.2876820724517809,2.302585092994045,1.4270610433807247,0,0,0,0,60.263
Agen,1300,1.791759469228055,-1.791759469228055,0.6931471805599453,-0.0,0,0,1,1,6.0979
Agen,1400,0.0,0.0,1.0986122886681096,-0.0,0,0,1,1,4.7803
Agen,1600,0.0,2.1972245773362196,2.484906649788001,1.3030924037617193,0,0,1,1,9.3221
Agen,1700,2.302585092994046,0.26236426446749106,3.044522437723422,1.6715952780212544,0,0,1,1,11.373
Agen,1800,2.302585092994046,1.840549633397487,3.1776179222957763,1.471746351594187,0,0,1,1,19.743
Agrigento,1700,2.3978952727983707,-2.3978952727983707,-0.0,-0.0,0,0,0,1,10.918
Agrigento,1800,2.6390573296152584,-1.252762968495368,1.3321790402101223,0.5623351446188083,0,0,0,1,20.26
Aix,1300,1.791759469228055,-0.40546510810816444,2.458311329683084,0.5623351446188083,0,0,0,0,7.7565
Aix,1400,0.0,1.0986122886681098,1.3862943611198906,0.6365141682948128,0,0,0,0,6.1074
Aix,1500,2.5649493574615367,-1.8718021769015913,0.6931471805599453,0.6931471805599453,0,0,1,0,8.2346
Aix,1600,2.8903717578961645,-1.0986122886681098,2.19722457733622,1.329661348854758,0,0,1,0,11.796
Aix,1700,3.295836866004329,0.5108256237659907,3.823096663224725,1.868537257899316,0,0,1,0,15.767
Aix,1800,3.044522437723423,1.8306748854777286,4.905874658916062,2.0790160680938663,0,0,1,0,23.845
Albi,1300,1.9459101490553132,-1.252762968495368,0.6931471805599453,-0.0,0,0,1,0,6.6679
Albi,1600,1.9459101490553132,-0.5596157879354228,1.039720770839918,0.6931471805599453,0,0,0,0,9.7532
Albi,1700,2.302585092994046,-0.2231435513142097,2.484906649788001,1.320888343149322,0,0,0,0,11.959
