level_0,index,city,year,latitude,longitude,log_pop,num_people,diversity,capital,university,commune,bishop,fup,notability_index,city_id,year_id
0,0,Aachen,1300,50.767,6.1,3.044522437723423,10,1.5171515848932915,0,0,1,0,7.651,151.802221,0,1
1,1,Aachen,1400,50.767,6.1,2.302585092994046,8,1.6674619334292948,0,0,1,0,6.3747,125.805782,0,2
2,2,Aachen,1500,50.767,6.1,2.8903717578961645,16,2.7516666169315167,0,0,1,0,8.3408,301.173993,0,3
3,3,Aachen,1600,50.767,6.1,3.1354942159291497,22,3.1780538303479453,0,0,1,0,12.245,383.297018,0,4
4,4,Aachen,1700,50.767,6.1,2.70805020110221,61,4.093467946222778,0,0,1,0,15.863,1040.745433,0,5
5,5,Aachen,1800,50.767,6.1,3.1780538303479458,322,5.631843301274556,0,0,1,0,24.889,5790.125255,0,6
6,8,Aalst (Alost),1500,50.933,4.033,1.6094379124341003,10,2.484906649788001,0,0,1,0,12.07,198.6515,1,3
7,9,Aalst (Alost),1600,50.933,4.033,1.9459101490553132,7,2.19722457733622,0,0,1,0,16.156,133.73440399999998,1,4
8,10,Aalst (Alost),1700,50.933,4.033,2.0794415416798357,8,2.3978952727983707,0,0,1,0,23.332,157.657084,1,5
9,11,Aalst (Alost),1800,50.933,4.033,2.3978952727983707,43,4.003618236994621,0,0,1,0,31.706,831.129433,1,6
10,17,Abbeville,1700,50.1,1.833,2.70805020110221,58,3.6750516232341153,0,0,1,0,18.269,1039.640921,2,5
11,18,Abbeville,1800,50.1,1.833,2.8903717578961645,63,3.922336426083114,0,0,1,0,28.497,1101.679956,2,6
12,22,Aberdeen,1600,57.15,-2.124,1.791759469228055,17,3.044522437723422,0,1,0,1,5.4364,386.217103,3,4
13,23,Aberdeen,1700,57.15,-2.124,2.4849066497880004,55,4.257412030667169,0,1,0,1,7.1797,1171.448448,3,5
14,24,Aberdeen,1800,57.15,-2.124,3.295836866004329,177,5.309595519981484,0,1,0,1,14.317,3463.608204,3,6
15,27,Acireale,1600,37.617,15.167,2.0794415416798357,4,1.3862943611198906,0,0,0,1,11.295,67.82988399999999,4,4
16,28,Acireale,1700,37.617,15.167,2.4849066497880004,7,2.079441541679836,0,0,0,1,11.819,124.498729,4,5
17,29,Acireale,1800,37.617,15.167,2.70805020110221,19,3.044522437723422,0,0,0,1,22.078,321.78011300000003,4,6
18,34,Afragola,1800,40.917,14.3,2.4849066497880004,14,2.833213344056216,0,0,0,0,60.263,251.33428,5,6
19,38,Agen,1700,44.2,0.633,2.302585092994046,72,3.393458001746014,0,0,1,1,11.373,1222.00096,6,5
20,39,Agen,1800,44.2,0.633,2.302585092994046,100,3.894225168440373,0,0,1,1,19.743,1762.670719,6,6
21,40,Agrigento,1600,37.317,13.567,2.3978952727983707,1,-0.0,0,0,0,1,10.289,18.934101,7,4
22,41,Agrigento,1700,37.317,13.567,2.3978952727983707,5,1.5607104090414063,0,0,0,1,10.918,92.642709,7,5
23,42,Agrigento,1800,37.317,13.567,2.6390573296152584,20,2.9713765399690217,0,0,0,1,20.26,356.129256,7,6
24,43,Aix,1200,43.533,5.433,2.70805020110221,4,2.458311329683084,0,0,0,0,5.4741,99.551247,8,0
25,44,Aix,1300,43.533,5.433,1.791759469228055,5,1.7917594692280547,0,0,0,0,7.7565,89.279873,8,1
26,45,Aix,1500,43.533,5.433,2.5649493574615367,10,2.639057329615258,0,0,1,0,8.2346,186.31662,8,3
27,46,Aix,1600,43.533,5.433,2.8903717578961645,44,3.884297118205748,0,0,1,0,11.796,803.432221,8,4
28,47,Aix,1700,43.533,5.433,3.295836866004329,142,4.971360716054411,0,0,1,0,15.767,2580.789216,8,5
29,48,Aix,1800,43.533,5.433,3.044522437723423,137,4.957391612822182,0,0,1,0,23.845,2593.958588,8,6
30,50,Albi,1500,43.933,2.15,2.0794415416798357,4,1.039720770839918,0,0,0,0,6.369,73.148627,9,3
31,51,Albi,1600,43.933,2.15,1.9459101490553132,8,2.484906649788001,0,0,0,0,9.7532,158.929809,9,4
32,52,Albi,1700,43.933,2.15,2.302585092994046,47,2.9602389423306867,0,0,0,0,11.959,792.10336,9,5
33,53,Albi,1800,43.933,2.15,2.302585092994046,75,3.8147113794821856,0,0,0,0,20.276,1315.080452,9,6
34,55,Alcala-de-Henares,1500,40.483,-3.367,2.0794415416798357,14,3.271689322323033,0,1,1,0,6.166,315.775808,10,3
35,56,Alcala-de-Henares,1600,40.483,-3.367,2.5649493574615367,14,3.028029073307412,0,1,1,0,11.141,265.878955,10,4
36,58,Alcala-de-Henares,1800,40.483,-3.367,1.6094379124341003,9,2.302585092994045,0,1,1,0,19.865,159.73827599999998,10,6
37,62,Alcala-la-Real,1600,37.467,-3.933,2.302585092994046,1,-0.0,0,0,0,0,12.01,13.204577,11,4
38,63,Alcala-la-Real,1700,37.467,-3.933,1.6094379124341003,2,0.6931471805599453,0,0,0,0,11.168,38.857256,11,5
39,64,Alcala-la-Real,1800,37.467,-3.933,2.1972245773362196,3,1.6094379124341005,0,0,0,0,19.084,58.575349,11,6
40,65,Alcamo,1500,37.98,12.97,1.791759469228055,2,1.3862943611198906,0,0,0,0,6.9828,36.622137,12,3
41,66,Alcamo,1600,37.98,12.97,2.0794415416798357,2,1.0986122886681096,0,0,0,0,11.673,26.739894,12,4
42,67,Alcamo,1700,37.98,12.97,2.0794415416798357,1,-0.0,0,0,0,0,12.561,16.771486,12,5
43,68,Alcamo,1800,37.98,12.97,2.5649493574615367,6,1.7917594692280547,0,0,0,0,24.201,104.968342,12,6
44,71,Alcazar de San Juan,1500,39.4,-3.2,2.995732273553991,8,2.639057329615258,0,0,1,0,5.9226,157.248375,13,3
45,72,Alcazar de San Juan,1600,39.4,-3.2,2.302585092994046,6,2.079441541679836,0,0,1,0,9.907,117.010385,13,4
46,73,Alcazar de San Juan,1700,39.4,-3.2,1.9459101490553132,3,1.6094379124341005,0,0,1,0,9.6466,60.263425,13,5
47,74,Alcazar de San Juan,1800,39.4,-3.2,2.302585092994046,11,2.564949357461537,0,0,1,0,16.148,202.323376,13,6
48,78,Alcoy,1600,38.7,-0.467,1.6094379124341003,2,1.3862943611198906,0,0,0,0,9.1503,40.249158,14,4
49,80,Alcoy,1800,38.7,-0.467,2.772588722239781,31,3.601104729170599,0,0,0,0,17.399,549.256724,14,6
50,85,Alencon,1700,48.433,0.083,2.302585092994046,77,3.823104105418591,0,0,0,0,14.56,1339.597561,15,5
51,86,Alencon,1800,48.433,0.083,2.5649493574615367,114,4.324244318904106,0,0,0,0,23.842,2073.766097,15,6
52,87,Alessandria,1200,44.9,8.617,2.995732273553991,3,1.0986122886681096,0,0,1,0,6.4404,49.383211,16,0
53,88,Alessandria,1300,44.9,8.617,2.302585092994046,2,0.6931471805599453,0,0,1,0,10.795,28.773682,16,1
54,90,Alessandria,1500,44.9,8.617,2.0794415416798357,13,2.718473401330013,0,0,0,0,9.9054,251.730321,16,3
55,91,Alessandria,1600,44.9,8.617,2.6390573296152584,8,2.079441541679836,0,0,0,0,14.592,142.166211,16,4
56,92,Alessandria,1700,44.9,8.617,2.4849066497880004,15,2.685945324669788,0,0,0,0,16.04,289.776661,16,5
57,93,Alessandria,1800,44.9,8.617,3.4011973816621555,142,4.905199401942833,0,0,0,0,26.079,2565.453936,16,6
58,95,Alicante (Lakant),1700,38.35,-0.483,2.4849066497880004,6,2.079441541679836,0,0,1,0,8.974,131.641437,17,5
59,96,Alicante (Lakant),1800,38.35,-0.483,2.5649493574615367,26,3.367295829986473,0,0,1,0,17.034,482.557473,17,6
60,98,Alkmaar,1500,52.633,4.75,1.6094379124341003,11,2.639057329615258,0,0,1,0,8.3376,249.269743,18,3
61,99,Alkmaar,1600,52.633,4.75,2.4849066497880004,23,3.087195049150684,0,0,1,0,14.846,481.680918,18,4
62,100,Alkmaar,1700,52.633,4.75,2.4849066497880004,5,1.6094379124341005,0,0,1,0,22.449,96.113309,18,5
63,102,Almeria (Al-Mariyya),1300,36.833,-2.45,2.8903717578961645,1,0.6931471805599453,0,0,0,0,5.7681,19.658173,19,1
64,103,Almeria (Al-Mariyya),1500,36.833,-2.45,3.4011973816621555,1,-0.0,0,0,0,0,5.6002,17.098299,19,3
65,104,Almeria (Al-Mariyya),1600,36.833,-2.45,1.9459101490553132,1,-0.0,0,0,0,0,8.3941,14.995639,19,4
66,105,Almeria (Al-Mariyya),1800,36.833,-2.45,1.9459101490553132,22,3.282693997278064,0,0,0,0,14.599,421.489716,19,6
