city,year,log_pop,diversity,capital,commune,bishop,num_people_divide,university,longitude,latitude
Alessandria,1200,2.995732273553991,-0.0,0,1,0,-2.995732273553991,0,8.617,44.9
Amiens,1200,2.4849066497880004,-0.0,0,1,1,-2.4849066497880004,0,2.3,49.9
Aquila (L'Aquila),1200,0.0,1.3862943611198906,0,0,0,0.6931471805599453,0,13.37,42.35
Arezzo,1200,2.0794415416798357,2.079441541679836,0,1,1,-1.3862943611198906,0,11.883,43.417
Arras (Atrecht),1200,2.995732273553991,2.70805020110221,0,1,1,-1.6094379124341003,0,2.783,50.283
Ascoli Piceno,1200,0.0,-0.0,0,0,1,0.0,0,13.567,42.85
Asti,1200,2.70805020110221,-0.0,0,1,1,-2.70805020110221,0,8.2,44.9
Augsburg,1200,2.4849066497880004,1.3862943611198906,0,1,1,-1.791759469228055,0,10.883,48.367
Aversa,1200,0.0,-0.0,0,0,1,0.0,0,14.2,40.967
Baeza (Bayyasa),1200,0.0,-0.0,0,0,0,0.0,0,-3.467,37.983
Bamberg,1200,0.0,1.3862943611198906,0,0,1,0.0,0,10.867,49.867
Barcelona (Barshaluna),1200,2.995732273553991,2.995732273553991,1,0,1,-1.2039728043259361,0,2.183,41.383
Basel,1200,1.6094379124341003,1.0986122886681096,0,0,1,-0.916290731874155,0,7.6,47.567
Bath,1200,0.0,2.302585092994045,0,0,1,1.6094379124341003,0,-2.366,51.378
Beauvais,1200,2.4849066497880004,0.6931471805599453,0,1,1,-2.4849066497880004,0,2.083,49.433
Bergamo,1200,2.302585092994046,1.7917594692280547,0,1,1,-0.916290731874155,0,9.717,45.683
Bern,1200,0.0,1.3296613488547582,0,0,0,1.3862943611198906,0,7.467,46.917
Besancon,1200,0.0,1.7917594692280547,0,0,0,1.0986122886681098,0,6.033,47.25
Beziers,1200,2.302585092994046,1.6094379124341005,0,1,0,-1.2039728043259361,0,3.25,43.35
Blois,1200,0.0,3.2188758248682,0,0,1,1.791759469228055,0,1.333,47.583
Bologna,1200,3.5553480614894135,2.302585092994045,0,1,1,-1.7635885922613588,1,11.333,44.483
Bonn,1200,0.0,1.0986122886681096,0,0,0,0.6931471805599453,0,7.1,50.733
Boulogne,1200,0.0,1.945910149055313,0,0,0,0.0,0,1.62,50.72
Braga,1200,2.302585092994046,2.639057329615258,0,0,0,-0.35667494393873245,0,-8.433,41.55
Bremen,1200,0.0,-0.0,0,0,1,0.0,0,8.8,53.083
Brescia,1200,2.995732273553991,1.0986122886681096,0,1,1,-2.3025850929940455,0,10.25,45.55
Buda,1200,0.0,2.19722457733622,0,0,0,0.6931471805599453,0,19.033,47.5
Burgos (Burghush),1200,2.995732273553991,1.0986122886681096,0,1,1,-2.3025850929940455,0,-3.7,42.35
Caen,1200,2.4849066497880004,2.890371757896165,0,1,0,-0.6931471805599453,0,-0.35,49.183
Caltanisetta,1200,0.0,0.6931471805599453,0,0,1,0.6931471805599453,0,14.067,37.483
Carcassonne,1200,0.0,-0.0,0,1,1,0.0,0,2.35,43.217
Casale,1200,0.0,1.6094379124341005,0,0,0,0.6931471805599453,0,8.45,45.133
Catania,1200,2.70805020110221,-0.0,0,0,1,-2.70805020110221,0,15.1,37.5
Chalons-sur-Marne,1200,2.4849066497880004,2.302585092994045,0,1,1,-0.8754687373538999,0,4.367,48.95
Chambery,1200,0.0,2.3978952727983707,0,0,1,1.6094379124341003,0,5.9,45.6
Chatham,1200,0.0,2.639057329615258,0,0,0,1.9459101490553132,0,0.535,51.361
Chivasso,1200,0.0,2.19722457733622,0,0,0,1.3862943611198906,0,7.883,45.183
Clermont-Ferrand,1200,0.0,1.7917594692280547,0,0,1,0.6931471805599453,0,3.083,45.783
Coimbra Kulumriyya),1200,2.995732273553991,2.639057329615258,0,1,1,-1.3862943611198906,0,-8.417,40.2
Colchester,1200,0.0,1.3862943611198906,0,0,0,0.0,0,0.9,51.892
Como,1200,0.0,1.6094379124341005,0,1,1,1.3862943611198906,0,9.083,45.783
Cosenza,1200,0.0,0.6931471805599453,0,0,0,0.0,0,16.25,39.3
Cremona,1200,3.2188758248682006,2.19722457733622,0,1,1,-1.4271163556401458,0,10.033,45.117
Dresden,1200,0.0,1.6094379124341005,0,0,0,0.6931471805599453,0,13.75,51.05
Dublin,1200,2.1972245773362196,1.0986122886681096,0,0,0,-2.1972245773362196,0,-6.25,53.333
Edinburgh,1200,0.0,2.70805020110221,1,0,0,0.6931471805599453,0,-3.161,55.949
Erfurt,1200,3.044522437723423,0.6931471805599453,0,1,0,-3.044522437723423,0,11.033,50.983
Faenza,1200,0.0,1.0986122886681096,0,1,1,0.0,0,11.883,44.283
Ferrara,1200,3.295836866004329,-0.0,0,1,1,-2.6026896854443837,0,11.583,44.833
Firenze,1200,4.0943445622221,1.945910149055313,1,1,1,-2.4849066497880004,0,11.25,43.767
Flensburg,1200,0.0,1.7917594692280547,0,0,0,0.6931471805599453,0,9.433,54.783
Forli,1200,0.0,-0.0,0,1,1,0.0,0,12.053,44.224
"Geneve (Geneva, Genf)",1200,0.0,0.6931471805599453,0,0,1,0.0,0,6.167,46.2
Genova,1200,3.4011973816621555,1.945910149055313,0,1,1,-1.6094379124341003,0,8.95,44.417
Gerona (Djarunda),1200,0.0,-0.0,0,0,1,0.0,0,2.817,41.983
Glasgow,1200,0.0,-0.0,0,0,1,0.0,0,-4.245,55.862
Gotha,1200,0.0,1.7917594692280547,0,0,0,0.6931471805599453,0,10.717,50.95
Granada (Gharnata),1200,4.0943445622221,1.6094379124341005,0,0,0,-2.70805020110221,0,-3.6,37.183
Groningen,1200,0.0,-0.0,0,0,0,0.0,0,6.55,53.217
Haarlem,1200,0.0,-0.0,0,1,0,0.0,0,4.65,52.367
Hannover,1200,0.0,-0.0,0,0,0,0.0,0,9.717,52.367
Hildesheim,1200,0.0,1.6094379124341005,0,1,1,1.0986122886681098,0,9.967,52.15
Ipswich,1200,0.0,0.6931471805599453,0,0,0,0.0,0,1.158,52.056
Issoudin,1200,0.0,3.2188758248682,0,1,0,2.6390573296152584,0,2.0,46.95
Jihlava (Iglau),1200,0.0,-0.0,0,0,0,0.0,0,15.583,49.4
Kassel,1200,0.0,1.3862943611198906,0,0,0,1.3862943611198906,0,9.5,51.317
"Kobenhaven (Copenhagen, Kopenhagen)",1200,0.0,1.0986122886681096,0,0,0,0.0,0,12.583,55.667
Koeln,1200,3.912023005428146,1.7917594692280547,0,1,0,-2.8134107167600364,0,6.95,50.933
Krakow (Krakau),1200,2.302585092994046,2.484906649788001,1,0,1,-0.916290731874155,0,19.917,50.083
Lanciano,1200,0.0,-0.0,0,0,1,0.0,0,14.383,42.233
Laon,1200,2.995732273553991,1.0986122886681096,0,1,1,-2.3025850929940455,0,3.617,49.567
"Leuven (Loewen, Louvain)",1200,1.9459101490553132,2.484906649788001,0,0,0,-0.3364722366212129,0,4.7,50.883
"Liege (Luik, Luettich)",1200,2.995732273553991,2.19722457733622,0,0,1,-1.6094379124341003,0,5.567,50.633
Limoges,1200,0.0,1.945910149055313,0,0,1,1.0986122886681098,0,1.25,45.85
Linz,1200,0.0,1.6094379124341005,0,0,0,1.0986122886681098,0,14.3,48.3
"Lisboa (Lisbon, Lissabon, Al Ushbuna)",1200,2.70805020110221,2.302585092994045,1,1,1,-0.5108256237659907,0,-9.133,38.717
London,1200,3.6888794541139363,2.995732273553991,1,1,1,-1.6094379124341003,0,-0.105,51.517
Lucca,1200,2.302585092994046,1.945910149055313,0,1,1,-0.916290731874155,0,10.483,43.833
Lueneburg,1200,0.0,0.6931471805599453,0,0,0,0.0,0,10.4,53.25
Luneville,1200,0.0,1.7917594692280547,0,0,0,1.0986122886681098,0,6.5,48.6
Lyon,1200,3.091042453358316,1.3862943611198906,0,1,0,-2.3978952727983707,0,4.85,45.75
Maastricht,1200,0.0,2.484906649788001,0,0,0,1.0986122886681098,0,5.683,50.85
Macon,1200,0.0,1.3862943611198906,0,0,1,0.6931471805599453,0,4.833,46.3
Madrid (Madjrit),1200,0.0,1.0986122886681096,0,1,0,1.0986122886681098,0,-3.683,40.4
Mainz,1200,3.2188758248682006,1.7917594692280547,0,0,0,-1.8325814637483102,0,8.273,49.998
Mantua,1200,2.995732273553991,1.6094379124341005,0,1,1,-1.3862943611198906,0,10.8,45.15
Melfi,1200,0.0,-0.0,0,0,1,0.0,0,15.65,41.0
Messina,1200,3.4011973816621555,0.6931471805599453,0,0,1,-3.4011973816621555,0,15.567,38.183
Milano,1200,4.0943445622221,1.6674619334292948,1,1,0,-2.0149030205422647,0,9.2,45.467
Mondovi,1200,0.0,0.6931471805599453,0,0,1,0.0,0,7.817,44.383
Mons (Bergen),1200,0.0,1.0986122886681096,0,1,0,0.6931471805599453,0,3.933,50.45
Montpellier,1200,2.5649493574615367,2.302585092994045,0,1,1,-1.1786549963416462,0,3.883,43.6
Monza,1200,0.0,1.3862943611198906,0,0,0,0.6931471805599453,0,9.267,45.583
Muenchen,1200,0.0,2.2686052856349663,0,0,0,1.9459101490553132,0,11.583,48.15
Namur (Namen),1200,0.0,2.3978952727983707,0,0,0,1.6094379124341003,0,4.867,50.467
Nantes,1200,0.0,-0.0,0,0,1,0.0,0,-1.55,47.217
Nijmegen,1200,0.0,1.945910149055313,0,0,0,0.6931471805599453,0,5.867,51.833
Nimes,1200,0.0,-0.0,0,1,1,0.0,0,4.35,43.833
Norwich,1200,2.6390573296152584,1.3862943611198906,0,0,1,-1.9459101490553135,0,1.303,52.628
Nottingham,1200,0.0,3.028029073307412,0,0,0,2.4849066497880004,0,-1.159,52.968
Novara,1200,0.0,2.022808529414704,0,1,1,2.0794415416798357,0,8.633,45.467
Nuernberg,1200,2.302585092994046,2.772588722239781,0,0,0,-0.35667494393873245,0,11.083,49.45
Olomouc (Olmuetz),1200,0.0,0.6931471805599453,0,0,1,0.0,0,17.25,49.583
Oxford,1200,0.0,3.1780538303479453,0,0,0,2.1972245773362196,1,-1.254,51.754
Padova (Padua),1200,2.995732273553991,1.0986122886681096,0,1,1,-1.8971199848858813,0,11.883,45.417
Palermo (Balarm),1200,3.4011973816621555,3.35462479700817,1,0,0,-1.455287232606842,0,13.367,38.117
Palma,1200,3.4011973816621555,0.6931471805599453,0,0,0,-2.70805020110221,0,2.65,39.567
Paris,1200,4.700480365792417,3.752682943892809,1,1,1,-2.0614230361771577,1,2.333,48.867
Parma,1200,2.3978952727983707,1.3862943611198906,0,1,1,-2.3978952727983707,0,10.333,44.8
Pavia,1200,3.4011973816621555,1.0986122886681096,0,1,1,-2.70805020110221,0,9.167,45.167
Perugia,1200,2.302585092994046,1.7917594692280547,0,1,1,-1.2039728043259361,0,12.367,43.133
Piacenza,1200,0.0,1.0986122886681096,0,1,1,1.0986122886681098,0,9.667,45.017
Pisa,1200,2.833213344056216,3.1354942159291497,0,1,0,-0.12516314295400605,0,10.383,43.717
Pistoia,1200,2.3978952727983707,1.6094379124341005,0,1,1,-1.2992829841302609,0,10.9,43.917
Poitiers,1200,3.044522437723423,2.639057329615258,0,1,1,-1.252762968495368,0,0.333,46.583
Poznan (Posen),1200,0.0,0.6931471805599453,0,0,1,0.0,0,16.967,52.417
"Praha (Prag, Prague)",1200,2.302585092994046,2.9785084205272367,1,0,1,-0.5108256237659907,0,14.467,50.083
Prato,1200,1.791759469228055,0.6931471805599453,0,1,1,-1.0986122886681098,0,11.1,43.883
Provins,1200,2.995732273553991,0.6931471805599453,0,1,0,-2.3025850929940455,0,3.3,48.55
Quedlinburg,1200,0.0,1.7917594692280547,0,0,0,0.6931471805599453,0,11.15,51.783
Reading,1200,0.0,1.0986122886681096,0,0,0,0.0,0,-0.971,51.455
Regensburg,1200,2.995732273553991,2.3978952727983707,0,0,0,-1.2039728043259361,0,12.1,49.017
Reims,1200,2.3978952727983707,1.3862943611198906,0,1,0,-2.3978952727983707,0,4.033,49.25
Roma,1200,3.5553480614894135,3.6138342074535856,1,1,0,-0.2972515234679316,0,12.483,41.9
Rouen,1200,2.70805020110221,2.302585092994045,0,1,0,-1.3217558399823195,0,1.083,49.433
Salerno,1200,3.4011973816621555,2.19722457733622,0,0,0,-1.455287232606842,1,14.783,40.683
Saluzzo,1200,0.0,0.6931471805599453,0,0,1,0.0,0,7.483,44.65
Savona,1200,0.0,1.945910149055313,0,1,1,0.0,0,8.5,44.283
"Sevilla(Seville, Ishbiliya)",1200,4.382026634673881,1.3862943611198906,1,0,0,-2.995732273553991,0,-5.987,37.377
Shrewsbury,1200,0.0,1.3862943611198906,0,0,0,0.0,0,-2.748,52.707
Siena,1200,2.4849066497880004,2.484906649788001,1,1,1,-1.0986122886681098,0,11.35,43.317
Soest,1200,2.4849066497880004,0.6931471805599453,0,0,0,-2.4849066497880004,0,8.117,51.583
Spoleto,1200,0.0,3.091042453358315,0,1,1,2.3978952727983707,0,12.733,42.733
St-Jean-d'Angely,1200,0.0,-0.0,0,1,0,0.0,0,-0.517,45.95
Stralsund,1200,0.0,1.6094379124341005,0,0,0,0.6931471805599453,0,13.1,54.3
Strasbourg (Strassburg),1200,2.302585092994046,2.19722457733622,0,1,1,-0.6931471805599453,0,7.75,48.583
Stuttgart,1200,0.0,1.0986122886681096,0,0,0,0.6931471805599453,0,9.183,48.767
Toledo,1200,3.5553480614894135,2.9264175554979968,1,0,0,-1.9459101490553135,0,-4.017,39.867
Torino,1200,0.0,1.6094379124341005,0,1,1,0.0,0,7.667,45.05
Toulouse,1200,2.995732273553991,1.6094379124341005,0,1,1,-1.8971199848858813,0,1.433,43.6
